City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
78,Santo Domingo,18.5001,-69.9886,87.93,70,40,5.01,DO,scattered clouds
79,Tukrah,32.5341,20.5791,73.49,56,10,14.88,LY,clear sky
80,Ribeira Grande,38.5167,-28.7,70.2,78,20,10.36,PT,few clouds
81,Sisimiut,66.9395,-53.6735,39.24,91,100,6.31,GL,overcast clouds
82,Moose Factory,51.2585,-80.6094,48.2,71,1,10.36,CA,clear sky
83,Plettenberg Bay,-34.0527,23.3716,61.83,55,0,5.28,ZA,clear sky
84,Kaputa,-8.4689,29.6619,73.4,61,22,13.22,ZM,few clouds
85,Taoudenni,22.6783,-3.9836,117.01,4,10,8.9,ML,clear sky
86,North Bend,43.4065,-124.2243,57.85,94,90,9.22,US,overcast clouds
87,Coahuayana,18.7333,-103.6833,85.48,49,100,4.56,MX,overcast clouds
88,Khatanga,71.9667,102.5,32.83,89,98,6.64,RU,overcast clouds
89,Sao Joao Da Barra,-21.6403,-41.0511,78.89,74,12,5.61,BR,few clouds
90,Leningradskiy,69.3833,178.4167,33.51,94,100,10.04,RU,overcast clouds
91,Chokurdakh,70.6333,147.9167,49.5,78,98,8.63,RU,light rain
92,Wyndham,37.6985,-77.6125,90.21,49,1,1.01,US,clear sky
93,Ishigaki,24.3448,124.1572,80.22,89,100,14.23,JP,overcast clouds
94,Upernavik,72.7868,-56.1549,37.54,83,57,2.73,GL,broken clouds
95,San Cristobal,7.7669,-72.225,80.78,56,90,6.55,VE,overcast clouds
96,Mongo,12.1844,18.693,99.09,18,97,2.75,TD,overcast clouds
97,Cidreira,-30.1811,-50.2056,77.49,58,0,5.97,BR,clear sky
98,Sitka,57.0531,-135.33,48.09,87,75,0.0,US,broken clouds
99,Ixtapa,20.7,-105.2,90.01,44,63,3.83,MX,broken clouds
100,Tamiahua,21.2667,-97.45,85.35,64,98,2.21,MX,overcast clouds
101,Puerto Ayora,-0.7393,-90.3518,76.96,84,98,7.0,EC,overcast clouds
102,Xenia,39.6848,-83.9296,83.91,52,1,8.05,US,clear sky
103,Cape Canaveral,28.4058,-80.6048,88.21,73,1,12.66,US,clear sky
104,Severo-Kurilsk,50.6789,156.125,41.9,95,100,22.01,RU,moderate rain
105,San Patricio,28.017,-97.5169,84.07,65,3,6.96,US,clear sky
106,Butaritari,3.0707,172.7902,82.31,69,52,5.79,KI,broken clouds
107,Namibe,-15.1961,12.1522,77.65,54,1,5.7,AO,clear sky
108,Novita,4.9551,-76.6053,83.62,79,100,2.44,CO,moderate rain
109,Mar Del Plata,-38.0023,-57.5575,59.09,44,0,5.99,AR,clear sky
110,Lucea,18.451,-78.1736,86.86,68,1,13.18,JM,clear sky
111,Mount Isa,-20.7333,139.5,62.37,39,68,10.36,AU,broken clouds
112,Castro,-24.7911,-50.0119,73.24,48,1,8.93,BR,clear sky
113,Carutapera,-1.195,-46.02,84.87,67,9,9.82,BR,clear sky
114,Talnakh,69.4865,88.3972,27.36,95,97,4.03,RU,overcast clouds
115,Torbay,47.6666,-52.7314,61.75,89,90,8.05,CA,mist
116,Ponta Do Sol,32.6667,-17.1,72.72,61,51,2.04,PT,broken clouds
117,Beloha,-25.1667,45.05,64.74,79,57,10.51,MG,broken clouds
118,Tabas,33.5959,56.9244,102.83,5,0,7.72,IR,clear sky
119,Billings,45.7833,-108.5007,81.37,58,40,10.36,US,scattered clouds
120,Chapais,49.7834,-74.8492,58.78,92,100,8.55,CA,overcast clouds
121,Banda Aceh,5.5577,95.3222,79.95,79,100,11.34,ID,overcast clouds
122,Nelson Bay,-32.7167,152.15,51.01,63,83,14.61,AU,broken clouds
123,Bethel,41.3712,-73.414,87.89,65,1,1.99,US,clear sky
124,San Quintin,30.4833,-115.95,66.15,68,11,7.74,MX,few clouds
125,Woodstock,43.1334,-80.7497,82.87,47,56,8.99,CA,broken clouds
126,Saint-Augustin,51.226,-58.6502,52.0,79,98,11.18,CA,overcast clouds
127,Guerrero Negro,27.9769,-114.0611,69.62,58,5,11.03,MX,clear sky
128,Ayia Marina,37.75,23.5333,79.41,70,63,16.64,GR,broken clouds
129,Sola,-13.8833,167.55,74.07,94,20,0.0,VU,few clouds
130,Barrow,71.2906,-156.7887,30.22,93,90,8.05,US,fog
131,Dikson,73.5069,80.5464,30.81,98,99,13.38,RU,light snow
132,Esperance,-33.8667,121.9,51.64,59,100,13.29,AU,overcast clouds
133,Vallenar,-28.5708,-70.7581,70.54,47,0,4.18,CL,clear sky
134,Christchurch,-43.5333,172.6333,56.91,77,100,1.99,NZ,light rain
135,Faya,18.3851,42.4509,78.91,53,16,9.15,SA,few clouds
136,Vigrestad,58.5667,5.7,66.96,71,100,2.98,NO,light rain
137,Salalah,17.0151,54.0924,82.62,84,98,9.44,OM,overcast clouds
138,Srandakan,-7.9386,110.2506,63.73,90,90,4.54,ID,overcast clouds
139,Bentiu,9.2333,29.8333,86.23,51,85,12.62,SS,light rain
140,Yar-Sale,66.8333,70.8333,44.42,60,72,12.21,RU,broken clouds
141,Ust-Tsilma,65.441,52.1498,66.58,49,95,12.64,RU,overcast clouds
142,Berlevag,70.8578,29.0864,42.51,74,82,17.94,NO,broken clouds
143,Spornoye,50.8448,37.2913,60.82,87,98,6.35,RU,light rain
144,Yaan,7.3833,8.5667,80.58,71,79,9.22,NG,broken clouds
145,Salitrillo,19.4333,-99.85,59.41,52,90,3.2,MX,overcast clouds
146,Haripur,34.0,72.9341,88.75,41,19,6.17,PK,few clouds
147,Nikolskoye,59.7035,30.7861,75.4,48,75,4.09,RU,broken clouds
148,Coihaique,-45.5752,-72.0662,44.55,57,40,4.61,CL,scattered clouds
149,Along,28.1667,94.7667,71.15,98,99,0.63,IN,overcast clouds
150,Padina,45.1181,20.7272,82.89,40,14,2.39,RS,few clouds
151,Westport,41.1415,-73.3579,88.29,69,34,1.99,US,scattered clouds
152,Ewa Beach,21.3156,-158.0072,75.15,69,1,8.99,US,clear sky
153,Jati,24.3539,68.2671,87.4,63,0,16.44,PK,clear sky
154,Wagar,16.1525,36.2032,104.11,15,3,3.49,SD,clear sky
155,Sangmelima,2.9333,11.9833,70.65,94,100,2.86,CM,overcast clouds
156,Ciudad Bolivar,8.1222,-63.5497,86.16,63,89,5.61,VE,overcast clouds
157,La Rioja,42.25,-2.5,69.58,48,87,5.88,ES,overcast clouds
158,Coquimbo,-29.9533,-71.3436,60.53,77,75,3.69,CL,broken clouds
159,Shimoda,34.6667,138.95,71.17,86,98,14.29,JP,light rain
160,Saint-Philippe,-21.3585,55.7679,74.75,84,45,4.74,RE,light rain
161,Pangnirtung,66.1451,-65.7125,37.4,87,75,14.97,CA,broken clouds
162,Agadez,19.75,10.25,106.9,7,36,14.74,NE,scattered clouds
163,Kommunisticheskiy,61.6789,64.4819,69.8,40,80,5.01,RU,broken clouds
164,Provideniya,64.3833,-173.3,36.19,94,100,3.24,RU,overcast clouds
165,Orlik,52.5178,99.825,57.78,71,100,4.9,RU,overcast clouds
166,Camabatela,-8.1881,15.375,74.79,37,100,4.12,AO,overcast clouds
167,Mwinilunga,-11.7358,24.4293,67.87,47,27,5.41,ZM,scattered clouds
168,Axim,4.8699,-2.2405,83.34,70,57,11.88,GH,light rain
169,Iskateley,67.6803,53.1512,48.24,67,100,13.33,RU,overcast clouds
170,East Liverpool,40.6187,-80.5773,85.35,54,1,1.01,US,clear sky
171,Haines Junction,60.7522,-137.5108,49.95,57,92,11.5,CA,overcast clouds
172,Dingle,10.9995,122.6711,77.2,90,41,2.55,PH,light rain
173,Atherton,53.5237,-2.4935,73.11,48,60,7.56,GB,broken clouds
174,Broken Hill,-31.95,141.4333,46.11,87,2,4.61,AU,clear sky
