City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
225,Arraial Do Cabo,BR,80.56,few clouds,-22.9661,-42.0278,Pousada Porto Praia
226,Marrakesh,MA,87.87,few clouds,31.6315,-8.0083,Novotel Marrakech Hivernage
229,Lewiston,US,86.41,clear sky,44.1003,-70.2148,Hilton Garden Inn Auburn Riverwatch
233,Hambantota,LK,80.94,clear sky,6.1241,81.1185,Bungalow 63
234,Touros,BR,86.9,few clouds,-5.1989,-35.4608,INN NEW HORIZON
236,Mogadishu,SO,79.39,broken clouds,2.0371,45.3438,Hotel Juba
237,Nanakuli,US,75.15,clear sky,21.3906,-158.1547,Camp Pālehua
244,Virginia Beach,US,86.05,broken clouds,36.8529,-75.97800000000001,Hilton Virginia Beach Oceanfront
245,Gumla,IN,82.24,scattered clouds,23.05,84.55,Hotel Bindesh - Chulhani - Best Hotel and Restaurant in Gumla
247,Mattru,SL,82.74,moderate rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
248,Lorengau,PG,80.55,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
250,Sao Filipe,CV,78.19,few clouds,14.8961,-24.4956,Hotel Xaguate
253,Sinnamary,GF,82.29,moderate rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
261,Yadgir,IN,87.17,moderate rain,16.7667,77.1333,Hotel SLV yadgir
269,Assemini,IT,79.09,clear sky,39.2915,9.0015,Hotel Grillo
276,Katobu,ID,75.4,scattered clouds,-4.9408,122.5276,La Ode Husein
278,Torres,BR,80.62,clear sky,-29.3353,-49.7269,Farol Hotel
279,Balikpapan,ID,77.86,scattered clouds,-1.2675,116.8289,ibis Balikpapan
281,Nantucket,US,77.34,mist,41.2835,-70.0995,Jared Coffin House
282,Abonnema,NG,86.29,overcast clouds,4.7084,6.7931,Corper's Lodge Obonoma
286,Ambanja,MG,78.73,moderate rain,-13.6833,48.45,Hotel Salama and Fast Food
287,Tabou,CI,82.0,light rain,4.423,-7.3528,hotêl doufoulougou
288,Denpasar,ID,82.06,scattered clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
289,Serrinha,BR,86.49,scattered clouds,-11.6642,-39.0075,Hotel Serra Sol
291,Muli,MV,83.48,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
292,Pasan,IN,86.86,scattered clouds,22.85,82.2,Ashok Hotel
293,Kadhan,PK,87.04,clear sky,24.480999999999998,68.9859,ڳوٺ چوڌري جلال الدين جٽ
294,Itarema,BR,88.03,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
295,Conde,BR,83.66,scattered clouds,-7.2597,-34.9075,Pousada Beija Flor
